,timestamp,prices,total_volume,market_caps,Vol_Mcap_ratio,Open,High,Low,Close,Volume,Close Time,Date,moving_avg_Vol_MCap,Un_Norm_Vol_MCap,Heiken_color,Greater,Slope,Pivot
0,1640217600000.0,38.181765720779964,27864558.422031097,1591053196.8289213,0.0175132789259134,38.51,51.8,38.51,44.49,775234.92,1640303999999.0,2021-12-23,,,green,,,
1,1640304000000.0,44.625885953543246,156425697.0505408,1930870865.8812804,0.0810130287916202,44.49,45.43,38.8,40.17,160463.412,1640390399999.0,2021-12-24,,,green,1.0,-9.71,
2,1640390400000.0,40.4485645780507,27235165.528434154,1745202300.0901566,0.015605735522481946,40.1,43.13,38.5,42.85,81984.426,1640476799999.0,2021-12-25,,,red,,6.67,
3,1640476800000.0,43.095590785012426,27545657.00276073,1872193518.9432633,0.014713039396861357,42.73,43.45,40.48,41.41,51710.565,1640563199999.0,2021-12-26,,,green,,-3.36,
4,1640563200000.0,41.75398987892361,16668227.754921842,1811198729.2689867,0.009202870720679704,41.56,61.0,40.27,49.14,507748.027,1640649599999.0,2021-12-27,,,green,,18.67,top
5,1640649600000.0,49.13551375334708,71262380.40438882,2120684697.1978168,0.033603477451670166,49.15,50.97,43.45,44.9,291524.024,1640735999999.0,2021-12-28,,,green,1.0,-8.63,
6,1640736000000.0,44.058069619937854,56360441.4998256,1921257783.6544592,0.02933517926606464,44.9,51.05,43.2,43.71,271611.505,1640822399999.0,2021-12-29,,,red,,-2.65,
7,1640822400000.0,44.24144767561789,61709668.85123397,1931910237.6461065,0.03194230645333851,43.8,47.65,40.7,42.8,196910.718,1640908799999.0,2021-12-30,,,red,,-2.08,bottom
8,1640908800000.0,42.544246756329485,49795745.578438744,1866392789.7246594,0.02668020678851041,42.83,52.65,42.59,48.85,361255.702,1640995199999.0,2021-12-31,,,green,,14.14,
9,1640995200000.0,49.06768906720446,72874086.26008077,2178369463.340751,0.033453501569160334,48.78,63.0,48.53,49.9,856615.208,1641081599999.0,2022-01-01,,,green,1.0,2.15,top
10,1641081600000.0,49.892287709094006,163840097.6336457,2195732463.8506174,0.07461751389617031,49.91,51.86,46.0,47.71,307788.139,1641167999999.0,2022-01-02,,,red,1.0,-4.39,
11,1641168000000.0,48.00450162020223,68234212.28356203,2140572633.802692,0.03187661619421205,47.72,49.32,45.16,46.75,262645.008,1641254399999.0,2022-01-03,,,red,,-2.01,
12,1641254400000.0,47.20718729760291,44185081.52978188,2121309363.824088,0.02082915499421987,46.75,53.49,46.07,49.39,309702.972,1641340799999.0,2022-01-04,,,green,,5.65,
13,1641340800000.0,49.244975892973656,31636283.594608888,2289756022.420838,0.013816443011758746,49.31,51.03,37.85,41.78,461695.695,1641427199999.0,2022-01-05,0.031014453784475832,,red,,-15.41,
14,1641427200000.0,42.80859572560447,62804384.96104888,1907321278.5749326,0.03292805762014755,41.84,43.6,39.11,42.3,290972.679,1641513599999.0,2022-01-06,0.03211550940549256,,red,1.0,1.24,
15,1641513600000.0,42.48774156919408,48390644.63621229,1910515106.4940927,0.025328585192404975,42.31,42.31,36.7,37.78,252372.67,1641599999999.0,2022-01-07,0.028138049148405755,,red,,-10.69,
16,1641600000000.0,37.828946157964005,30227995.48013879,1709611991.3259254,0.017681202304094062,37.78,42.0,35.84,37.48,223193.97,1641686399999.0,2022-01-08,0.028286296775663765,,red,,-0.79,
17,1641686400000.0,37.26753804962446,26894663.554326937,1696597564.0995488,0.01585211727484767,37.48,40.48,36.8,38.9,121251.129,1641772799999.0,2022-01-09,0.028367659481234216,,red,,3.79,
18,1641772800000.0,38.94511218124954,16962104.147193186,1766243288.4827256,0.009603492484755212,38.9,39.92,32.88,35.41,275348.165,1641859199999.0,2022-01-10,0.028396275321525322,,red,,-8.97,bottom
