,timestamp,prices,total_volume,market_caps,Vol_Mcap_ratio,Open,High,Low,Close,Volume,Close Time,Date,moving_avg_Vol_MCap,Un_Norm_Vol_MCap,Heiken_color,Greater,Slope,Pivot
0,1609459200000.0,0.01688060836792398,5317044.337048546,42814464.590924114,0.12418803756746412,0.0169,0.0179,0.01658,0.01719,110561258.5,1609545599999.0,2021-01-01,,,green,,,
1,1609545600000.0,0.017148204021955583,6093477.870942871,43563937.6189555,0.13987435948148733,0.01719,0.01722,0.01605,0.01639,93652914.9,1609631999999.0,2021-01-02,,,red,1.0,-4.65,
2,1609632000000.0,0.016472037837223185,5703923.097785393,41656186.5258822,0.13692859508974448,0.01641,0.0196,0.01602,0.01871,184230430.4,1609718399999.0,2021-01-03,,,green,,14.15,
3,1609718400000.0,0.018641267585541108,12092362.808104442,48505439.489953086,0.24929910820845422,0.01892,0.02082,0.01651,0.02047,243704478.9,1609804799999.0,2021-01-04,,,green,1.0,9.41,
4,1609804800000.0,0.020048103986791865,17356826.11757125,50725082.88859707,0.3421744259283022,0.0205,0.02144,0.01867,0.02063,210818537.9,1609891199999.0,2021-01-05,,,green,1.0,0.78,
5,1609891200000.0,0.02057333151267399,14563153.135101276,52090457.08973852,0.2795743011049546,0.0206,0.0245,0.01965,0.02442,194498180.2,1609977599999.0,2021-01-06,,,green,,18.37,
6,1609977600000.0,0.024287429551838085,14450945.555024806,61195992.046045415,0.23614202616654287,0.02447,0.0276,0.0231,0.02383,264971073.0,1610063999999.0,2021-01-07,,,green,,-2.42,
7,1610064000000.0,0.02400936920662255,22308673.384207875,60573579.66507653,0.3682904907974236,0.02387,0.0276,0.02145,0.02599,193932119.2,1610150399999.0,2021-01-08,,,green,1.0,9.06,
8,1610150400000.0,0.026464049338536594,19107745.682762362,67087846.722025484,0.28481679792070497,0.02625,0.029,0.025,0.02706,158385387.3,1610236799999.0,2021-01-09,,,green,,4.12,top
9,1610236800000.0,0.027527623380708084,14815558.998060014,70289296.62992914,0.21077973046256887,0.02714,0.02909,0.02323,0.02518,230365265.4,1610323199999.0,2021-01-10,,,green,,-6.95,
10,1610323200000.0,0.025397853940626533,17415591.711108327,64755941.485624656,0.26894198912966866,0.02519,0.02521,0.01864,0.02212,229181865.5,1610409599999.0,2021-01-11,,,red,1.0,-12.15,
11,1610409600000.0,0.022150291678375435,18973958.87854669,55998547.46865873,0.33882948283910463,0.02211,0.02466,0.02128,0.0219,144185427.6,1610495999999.0,2021-01-12,,,red,1.0,-0.99,bottom
12,1610496000000.0,0.021919024319546145,11933920.941776583,55687143.243508756,0.21430298353772487,0.02191,0.02442,0.02106,0.02393,97258048.6,1610582399999.0,2021-01-13,,,red,,9.27,
13,1610582400000.0,0.023937401580685816,10263282.945425725,60566693.15405299,0.1694542397967938,0.02393,0.02534,0.02289,0.02463,74487449.8,1610668799999.0,2021-01-14,0.24025689771649567,,green,,2.93,
14,1610668800000.0,0.024517713773761468,7029711.152701274,62298630.64302445,0.11283893530472627,0.02462,0.028,0.0233,0.02635,187774561.7,1610755199999.0,2021-01-15,0.23944624755487154,,green,,6.98,
15,1610755200000.0,0.026373868378692114,16381263.57979706,67419921.47841628,0.2429736377702744,0.0264,0.03075,0.02603,0.02856,185445986.2,1610841599999.0,2021-01-16,0.24681048171835632,,green,1.0,8.39,
16,1610841600000.0,0.028637871441993538,18798033.90580877,72889096.40417391,0.25789912117407343,0.0285,0.031,0.02609,0.02998,144606202.9,1610927999999.0,2021-01-17,0.2554512335815227,,green,,4.97,top
17,1610928000000.0,0.02986694652861932,15525949.377815563,76725203.80058779,0.20235787731718766,0.03001,0.03161,0.02846,0.02983,113786891.8,1611014399999.0,2021-01-18,0.25209828851786076,,green,,-0.5,
18,1611014400000.0,0.029614127415038202,13117031.039359637,75476855.03554332,0.17378878641912948,0.02977,0.03101,0.02786,0.02804,105064577.7,1611100799999.0,2021-01-19,0.24007074283863417,,green,,-6.0,
19,1611100800000.0,0.028392773316934072,10217009.276317691,72266366.94006984,0.14137986602800456,0.02805,0.02895,0.02575,0.02867,110681425.4,1611187199999.0,2021-01-20,0.23019971176170914,,red,,2.25,
20,1611187200000.0,0.02865878045776695,11427241.36604888,72322265.4256977,0.15800447205002138,0.02869,0.02917,0.02568,0.0264,133057598.7,1611273599999.0,2021-01-21,0.22461845789624332,,red,1.0,-7.92,bottom
